"nummer";"type";"route";"bijz"
"9500";"Sprinter";"Alphen aan den Rijn – Gouda";"Rijdt buiten de spitsuren, in de spits rijdt de 19500 als vervanger"
"9600";"Sprinter";"'s-Hertogenbosch – Boxtel – Eindhoven – Helmond – Deurne";"Gekoppeld aan treinserie 4400 Nijmegen - 's-Hertogenbosch."
"9700";"Sprinter";"Rotterdam Centraal – Gouda – Gouda Goverwelle";"Rijdt alleen in de spits."
"9800";"Sprinter";"Den Haag Centraal – Gouda – Utrecht Centraal";"Stopt na 20:00 uur en in het weekend ook op Utrecht Leidsche Rijn"
"9900";"Thalys (NS International)";"Amsterdam Centraal – Schiphol – Rotterdam Centraal –Antwerpen-Centraal – Brussel-Zuid – Lille Europe";"Rijdt 1-2x/dag"
"11600";"Intercity";"Schiphol – Amsterdam Zuid – Duivendrecht – Hilversum –Amersfoort – Amersfoort Schothorst";"Vormt tussen Schiphol en Amersfoort een halfuursdienst met serie 1600"
"11700";"Intercity";"Amersfoort Schothorst – Amersfoort – Utrecht Centraal –Gouda – Den Haag Centraal";""
"11900";"Regionalbahn(DB Regio NRW)";"Heerlen – Landgraaf – [ / Eschweiler-St. Jöris – ]Herzogenrath – Aachen Hbf – Stolberg Hbf – [ Stolberg Altstadt / ] Langerwehe – Düren – ( Heimbach)";"'s Zomers door naar Heimbach."
"12500";"Intercity";"Rotterdam Centraal – Utrecht Centraal – Amersfoort –Zwolle – Leeuwarden";"Vormt tussen Rotterdam Centraal en Zwolle een halfuursdienst met serie 500. Stopt tussen Zwolle en Leeuwarden alleen soms 's morgens vroeg en 's avonds laat op alle stations."
"12600";"Intercity";"Vlissingen – Roosendaal – Dordrecht – Rotterdam Centraal– Den Haag HS – Schiphol – Amsterdam Centraal – Lelystad Centrum – Zwolle – Leeuwarden/Groningen";"Rijdt 's morgens en 's avonds enkele malen. Combinatie van de serie 2600 en het deeltraject ten noorden van Lelystad van de series 700/12700."
"12700";"Intercity";"Den Haag Centraal – Schiphol – Lelystad Centrum – Zwolle– Leeuwarden";"Vormt tussen Den Haag Centraal en Zwolle een halfuursdienst met serie 700. Vormt tussen Zwolle en Leeuwarden een halfuursdienst met serie 12500. Stopt vanaf Zwolle op alle tussengelegen stations, om zo een halfuursdienst te creëren met serie 9000."
"12800";"Intercity";"Rotterdam Centraal – Gouda";"Rijdt alleen in het weekend en word in Gouda gecombineerd met de serie (1)1700"
"13600";"Sprinter";"Breda – Tilburg – 's-Hertogenbosch";"Vanaf 's-Hertogenbosch verder als 16000 naar Utrecht Centraal."
"13800";"Sneltrein(Arriva)";"Zwolle – Coevorden";"Rijdt allen tijdens de spits en is onderdeel van de Vechtdallijnen."
"14000";"Sprinter";"Rotterdam Centraal – Gouda – Utrecht Centraal";"Rijdt alleen 's morgens vroeg en alleen richting Rotterdam."
"14100";"Sprinter";"Rotterdam Centraal – Vlaardingen Centrum";"Vier keer per uur. Rijdt uitsluitend in de spits."
"14500";"Intercity";"Amsterdam Centraal – Hoorn – Enkhuizen";"Rijdt alleen in de spits. Stopt niet in Hoorn Kersenboogerd."
"14800";"Sprinter";"Amsterdam Centraal – Haarlem – Beverwijk – Uitgeest –Castricum – Alkmaar – (Hoorn)";"Rijdt alleen 's avonds. Rijdt tussen Alkmaar en Hoorn één keer per uur."
"15400";"Sprinter";"Amsterdam Centraal – Haarlem – Zandvoort aan Zee";"Extra strandtrein, rijdt alleen in de zomerperiode."
"16000";"Sprinter";"Utrecht Centraal – Geldermalsen – 's-Hertogenbosch";"Vanaf 's-Hertogenbosch verder als treinserie 13600 naar Breda."
"17400";"Sprinter";"Breukelen – Utrecht Centraal ( – Driebergen-Zeist –Veenendaal Centrum)";"Rijdt alleen in de spits."
"17600";"Sprinter";"Nijmegen – Wijchen";"Rijdt alleen in de spits"
"17800";"Stoptrein(Arriva)";"Zutphen – Apeldoorn";""
"19500";"Sprinter";"Leiden Centraal – Alphen aan den Rijn – Gouda";"Rijdt alleen in de spits"
"19800";"Sprinter";"Den Haag Centraal – Gouda – Gouda Goverwelle";"Rijdt niet 's avonds na 20.00 uur en in het weekend."
"20070";"Regional-Express(Maas-Wupper-Express) (Eurobahn)";"Venlo – Mönchengladbach Hbf – Neuss Hbf – Düsseldorf Hbf – Wuppertal Hbf – Hagen Hbf – Hamm (Westf)";""
"20100";"Stoptrein(Arriva)";"Groningen – Zuidbroek – Bad Nieuweschans – Leer (Ostfr.)";"Sinds 16 november 2012, ook wel Wiederline genoemd"
"20180";"Regionalbahn(DB Regio)";"Enschede – Münster (Westf) Hbf";""
"20230";"Regionalbahn(DB Regio)";"Enschede – Dortmund Hbf";""
"21400";"Intercity";""Eindhoven – Utrecht Centraal";" Rotterdam Centraal –Eindhoven"";"Nachtnet. Rijdt alleen in de nachten volgend op vrijdag en zaterdag."
"28300";"Sprinter";"Utrecht Centraal – Utrecht Maliebaan";"Trein naar het Spoorwegmuseum, alleen als dit open is (niet op maandag, behalve tijdens de schoolvakanties)"
"30700";"Stoptrein(Breng)";"Arnhem – Doetinchem";"Rijdt onder de naam brengdirect en rijdt niet in de avonduren (na 20.00 uur) en het weekend. Verzorgt samen met Arriva een kwartiersdienst tussen Arnhem en Doetinchem."
"30800";"Stoptrein(Arriva)";"Winterswijk – Zutphen";""
"30900";"Stoptrein(Arriva)";"Arnhem – Doetinchem – Winterswijk";"Verzorgt samen met brengdirect doordeweeks tot 20.00 uur een kwartiersdienst tussen Arnhem en Doetinchem."
"31000";"Stoptrein(Arriva)";"Almelo – Mariënberg";""
"31100";"Stoptrein(Arriva)";"Arnhem – Elst – Tiel";"Stopt niet te Arnhem Zuid"
